iter	Logloss
0	0.6875000464
1	0.6833376509
2	0.6804814164
3	0.6785206303
4	0.6768537251
5	0.6755981255
6	0.6744155662
7	0.6736097299
8	0.6729555235
9	0.6723614675
10	0.6721990759
11	0.671802366
12	0.6713508677
13	0.6709720394
14	0.6706715892
15	0.670431441
16	0.6702330739
17	0.6699734245
18	0.6698467141
19	0.6696411255
20	0.6694049618
21	0.6692093789
22	0.6689999041
23	0.6688507767
24	0.6686645863
25	0.6684893675
26	0.6684724233
27	0.6683557786
28	0.6682148625
29	0.6680555759
30	0.6679421556
31	0.667854613
32	0.6677518028
33	0.6676486909
34	0.6675341269
35	0.6673619056
36	0.6672148033
37	0.6670305712
38	0.6669357257
39	0.6668455715
40	0.6667223187
41	0.6665747631
42	0.6664273467
43	0.6663271669
44	0.6662112913
45	0.666134081
46	0.6660168984
47	0.6659028135
48	0.6658498681
49	0.6657772245
50	0.6656885308
51	0.6656509224
52	0.6655728
53	0.6654840685
54	0.6653631623
55	0.6652799614
56	0.665205625
57	0.665122482
58	0.6650522521
59	0.6649983369
60	0.6649286226
61	0.664852076
62	0.6648004583
63	0.6647244325
64	0.6645930457
65	0.6645270706
66	0.6644456309
67	0.6643879141
68	0.6643237997
69	0.6642598535
70	0.664206913
71	0.6641369192
72	0.6640639467
73	0.6640012374
74	0.6639479176
75	0.6638907274
76	0.6638213723
77	0.6637607963
78	0.663678469
79	0.6635983962
80	0.663535429
81	0.6634912746
82	0.6634372312
83	0.6633493955
84	0.6632957953
85	0.6632157684
86	0.663113486
87	0.6630712378
88	0.6630195558
89	0.6629718993
90	0.6629087535
91	0.6628193322
92	0.6627576095
93	0.6626914033
94	0.6626538361
95	0.6625724507
96	0.6625279806
97	0.6624766212
98	0.6624065221
99	0.6623655015
100	0.66229599
101	0.66223636
102	0.6621923222
103	0.6621443942
104	0.6620868891
105	0.662037414
106	0.6619879031
107	0.6619324502
108	0.6619004982
109	0.6618691865
110	0.6618099592
111	0.6617435228
112	0.6616979261
